c i 1-D powers of two
Problem: ir362880, setup: 4764.82 s, time: 57.23 ms, ``mflops'': 292.75
Problem: ir1562500, setup: 236.32 s, time: 440.60 ms, ``mflops'': 182.42
r o 1-D non-powers of two
Problem: or6, setup: 92.00 us, time: 143.92 ns, ``mflops'': 269.41
Problem: or9, setup: 91.00 us, time: 219.83 ns, ``mflops'': 324.44
Problem: or12, setup: 92.00 us, time: 212.39 ns, ``mflops'': 506.38
Problem: or15, setup: 61.00 us, time: 304.61 ns, ``mflops'': 480.97
Problem: or18, setup: 5.22 s, time: 607.36 ns, ``mflops'': 308.95
Problem: or24, setup: 20.53 s, time: 640.87 ns, ``mflops'': 429.26
Problem: or36, setup: 30.05 s, time: 1.01 us, ``mflops'': 459.1
Problem: or80, setup: 123.29 s, time: 1.98 us, ``mflops'': 639.02
Problem: or108, setup: 62.12 s, time: 3.32 us, ``mflops'': 548.73
Problem: or210, setup: 41.95 s, time: 7.72 us, ``mflops'': 524.56
Problem: or504, setup: 214.56 s, time: 19.52 us, ``mflops'': 579.35
Problem: or1000, setup: 266.71 s, time: 36.67 us, ``mflops'': 679.5
Problem: or1960, setup: 258.42 s, time: 95.87 us, ``mflops'': 559
Problem: or4725, setup: 189.81 s, time: 359.59 us, ``mflops'': 400.97
Problem: or10368, setup: 1180.70 s, time: 573.28 us, ``mflops'': 603.14
Problem: or27000, setup: 1606.22 s, time: 1.72 ms, ``mflops'': 577.41
Problem: or75600, setup: 3594.66 s, time: 6.33 ms, ``mflops'': 483.57
Problem: or165375, setup: 458.44 s, time: 33.45 ms, ``mflops'': 214.24
Problem: or362880, setup: 6916.10 s, time: 60.34 ms, ``mflops'': 277.69
Problem: or1562500, setup: 406.93 s, time: 346.00 ms, ``mflops'': 232.29
r i 2-D powers of two
Problem: ir4x4, setup: 5.88 s, time: 419.28 ns, ``mflops'': 381.61
Problem: ir8x4, setup: 5.75 s, time: 708.07 ns, ``mflops'': 564.92
Problem: ir4x8, setup: 9.13 s, time: 650.27 ns, ``mflops'': 615.13
Problem: ir8x8, setup: 6.23 s, time: 1.20 us, ``mflops'': 798.77
Problem: ir16x16, setup: 9.58 s, time: 5.07 us, ``mflops'': 1010.2
Problem: ir32x32, setup: 61.52 s, time: 29.69 us, ``mflops'': 862.2
Problem: ir64x64, setup: 119.63 s, time: 158.34 us, ``mflops'': 776.03
Problem: ir16x512, setup: 333.13 s, time: 332.00 us, ``mflops'': 801.93
