c i 1-D powers of two
Problem: oc49x49, setup: 24.60 ms, time: 284.27 us, ``mflops'': 474.24
Problem: oc60x60, setup: 110.69 ms, time: 310.97 us, ``mflops'': 683.82
Problem: oc72x56, setup: 87.79 ms, time: 367.25 us, ``mflops'': 657.49
Problem: oc75x75, setup: 67.28 ms, time: 548.50 us, ``mflops'': 638.78
Problem: oc80x80, setup: 140.94 ms, time: 541.84 us, ``mflops'': 746.72
Problem: oc84x84, setup: 115.48 ms, time: 732.62 us, ``mflops'': 615.65
Problem: oc96x96, setup: 189.99 ms, time: 768.87 us, ``mflops'': 789.3
Problem: oc100x100, setup: 156.23 ms, time: 912.00 us, ``mflops'': 728.49
Problem: oc105x105, setup: 99.91 ms, time: 1.26 ms, ``mflops'': 589.66
Problem: oc112x112, setup: 154.16 ms, time: 1.30 ms, ``mflops'': 658.25
Problem: oc120x120, setup: 275.01 ms, time: 1.28 ms, ``mflops'': 775.81
Problem: oc144x144, setup: 331.94 ms, time: 1.94 ms, ``mflops'': 767.01
Problem: oc180x180, setup: 454.75 ms, time: 3.46 ms, ``mflops'': 700.59
Problem: oc240x240, setup: 758.85 ms, time: 6.64 ms, ``mflops'': 685.95
Problem: oc360x360, setup: 1.19 s, time: 25.86 ms, ``mflops'': 425.66
Problem: oc1000x1000, setup: 7.44 s, time: 253.70 ms, ``mflops'': 392.82
Problem: oc1050x1050, setup: 8.33 s, time: 302.36 ms, ``mflops'': 365.95
Problem: oc1458x1458, setup: 15.08 s, time: 767.82 ms, ``mflops'': 290.97
Problem: oc1960x1960, setup: 17.05 s, time: 1.21 s, ``mflops'': 345.99
c i 3-D powers of two
Problem: ic4x4x4, setup: 7.57 ms, time: 2.61 us, ``mflops'': 736.08
Problem: ic8x8x8, setup: 9.80 ms, time: 18.99 us, ``mflops'': 1213.3
Problem: ic4x8x16, setup: 12.06 ms, time: 19.55 us, ``mflops'': 1178.2
Problem: ic16x16x16, setup: 36.97 ms, time: 223.22 us, ``mflops'': 1101
Problem: ic32x32x32, setup: 198.42 ms, time: 2.56 ms, ``mflops'': 961.31
Problem: ic64x64x64, setup: 1.91 s, time: 39.04 ms, ``mflops'': 604.3
Problem: ic256x64x32, setup: 2.77 s, time: 121.40 ms, ``mflops'': 410.27
Problem: ic16x1024x64, setup: 6.61 s, time: 210.11 ms, ``mflops'': 499.06
Problem: ic128x128x128, setup: 14.95 s, time: 448.27 ms, ``mflops'': 491.22
c o 3-D powers of two
Problem: oc4x4x4, setup: 7.02 ms, time: 2.61 us, ``mflops'': 736.08
Problem: oc8x8x8, setup: 9.22 ms, time: 18.99 us, ``mflops'': 1213.3
Problem: oc4x8x16, setup: 11.20 ms, time: 19.55 us, ``mflops'': 1178.2
Problem: oc16x16x16, setup: 34.80 ms, time: 223.22 us, ``mflops'': 1101
Problem: oc32x32x32, setup: 192.04 ms, time: 2.56 ms, ``mflops'': 958.5
Problem: oc64x64x64, setup: 1.89 s, time: 45.06 ms, ``mflops'': 523.64
Problem: oc256x64x32, setup: 2.75 s, time: 129.00 ms, ``mflops'': 386.1
Problem: oc16x1024x64, setup: 6.61 s, time: 238.22 ms, ``mflops'': 440.16
Problem: oc128x128x128, setup: 14.98 s, time: 476.17 ms, ``mflops'': 462.44
c i 3-D non-powers of two
Problem: ic5x5x5, setup: 7.39 ms, time: 7.20 us, ``mflops'': 604.73
Problem: ic6x6x6, setup: 8.24 ms, time: 9.26 us, ``mflops'': 904.86
Problem: ic7x7x7, setup: 9.07 ms, time: 22.54 us, ``mflops'': 640.89
Problem: ic9x9x9, setup: 13.31 ms, time: 55.92 us, ``mflops'': 619.85
Problem: ic10x10x10, setup: 14.78 ms, time: 51.51 us, ``mflops'': 967.33
Problem: ic11x11x11, setup: 22.16 ms, time: 143.33 us, ``mflops'': 481.88
Problem: ic12x12x12, setup: 18.68 ms, time: 77.03 us, ``mflops'': 1206.4
Problem: ic13x13x13, setup: 26.50 ms, time: 166.94 us, ``mflops'': 730.5
Problem: ic14x14x14, setup: 30.95 ms, time: 222.73 us, ``mflops'': 703.58
