c i 1-D powers of two
Problem: oc4x4x4, setup: 2.56 ms, time: 3.23 us, ``mflops'': 593.67
Problem: oc8x8x8, setup: 2.47 ms, time: 28.79 us, ``mflops'': 800.14
Problem: oc4x8x16, setup: 2.93 ms, time: 30.82 us, ``mflops'': 747.51
Problem: oc16x16x16, setup: 2.93 ms, time: 415.87 us, ``mflops'': 590.95
Problem: oc32x32x32, setup: 12.48 ms, time: 5.51 ms, ``mflops'': 446.07
Problem: oc64x64x64, setup: 18.71 ms, time: 91.66 ms, ``mflops'': 257.39
Problem: oc256x64x32, setup: 28.20 ms, time: 273.74 ms, ``mflops'': 181.95
Problem: oc16x1024x64, setup: 44.72 ms, time: 611.49 ms, ``mflops'': 171.48
Problem: oc128x128x128, setup: 33.18 ms, time: 1.47 s, ``mflops'': 150.15
c i 3-D non-powers of two
Problem: ic5x5x5, setup: 2.66 ms, time: 9.87 us, ``mflops'': 441.27
Problem: ic6x6x6, setup: 2.69 ms, time: 11.69 us, ``mflops'': 716.72
Problem: ic7x7x7, setup: 2.65 ms, time: 45.19 us, ``mflops'': 319.61
Problem: ic9x9x9, setup: 3.14 ms, time: 73.80 us, ``mflops'': 469.66
Problem: ic10x10x10, setup: 3.21 ms, time: 80.60 us, ``mflops'': 618.21
Problem: ic11x11x11, setup: 3.60 ms, time: 279.97 us, ``mflops'': 246.7
Problem: ic12x12x12, setup: 3.33 ms, time: 131.63 us, ``mflops'': 705.92
Problem: ic13x13x13, setup: 3.60 ms, time: 329.06 us, ``mflops'': 370.59
Problem: ic14x14x14, setup: 3.21 ms, time: 413.03 us, ``mflops'': 379.42
Problem: ic15x15x15, setup: 3.17 ms, time: 405.41 us, ``mflops'': 487.87
Problem: ic24x25x28, setup: 16.70 ms, time: 3.81 ms, ``mflops'': 309.64
Problem: ic48x48x48, setup: 30.98 ms, time: 38.03 ms, ``mflops'': 243.6
Problem: ic49x49x49, setup: 8.03 ms, time: 59.12 ms, ``mflops'': 167.59
Problem: ic60x60x60, setup: 32.54 ms, time: 79.91 ms, ``mflops'': 239.49
Problem: ic72x60x56, setup: 46.43 ms, time: 101.55 ms, ``mflops'': 213.02
Problem: ic75x75x75, setup: 18.19 ms, time: 206.16 ms, ``mflops'': 191.2
Problem: ic80x80x80, setup: 43.16 ms, time: 216.11 ms, ``mflops'': 224.67
Problem: ic84x84x84, setup: 31.47 ms, time: 306.58 ms, ``mflops'': 185.37
Problem: ic96x96x96, setup: 56.99 ms, time: 396.93 ms, ``mflops'': 220.16
Problem: ic100x100x100, setup: 35.38 ms, time: 504.26 ms, ``mflops'': 197.63
Problem: ic105x105x105, setup: 17.21 ms, time: 657.27 ms, ``mflops'': 177.38
Problem: ic112x112x112, setup: 34.89 ms, time: 731.94 ms, ``mflops'': 196
Problem: ic120x120x120, setup: 64.62 ms, time: 907.81 ms, ``mflops'': 197.21
c o 3-D non-powers of two
Problem: oc5x5x5, setup: 2.35 ms, time: 9.90 us, ``mflops'': 439.92
Problem: oc6x6x6, setup: 2.50 ms, time: 11.68 us, ``mflops'': 716.78
Problem: oc7x7x7, setup: 2.47 ms, time: 45.19 us, ``mflops'': 319.64
Problem: oc9x9x9, setup: 2.81 ms, time: 74.04 us, ``mflops'': 468.15
Problem: oc10x10x10, setup: 3.27 ms, time: 84.18 us, ``mflops'': 591.94
Problem: oc11x11x11, setup: 3.05 ms, time: 289.50 us, ``mflops'': 238.58
Problem: oc12x12x12, setup: 2.90 ms, time: 144.27 us, ``mflops'': 644.07
Problem: oc13x13x13, setup: 3.21 ms, time: 342.44 us, ``mflops'': 356.12
Problem: oc14x14x14, setup: 2.78 ms, time: 423.50 us, ``mflops'': 370.04
Problem: oc15x15x15, setup: 2.78 ms, time: 421.59 us, ``mflops'': 469.14
Problem: oc24x25x28, setup: 14.26 ms, time: 3.46 ms, ``mflops'': 340.32
Problem: oc48x48x48, setup: 30.77 ms, time: 42.34 ms, ``mflops'': 218.83
Problem: oc49x49x49, setup: 7.11 ms, time: 60.41 ms, ``mflops'': 164.03
Problem: oc60x60x60, setup: 35.23 ms, time: 85.77 ms, ``mflops'': 223.13
Problem: oc72x60x56, setup: 45.05 ms, time: 101.92 ms, ``mflops'': 212.25
Problem: oc75x75x75, setup: 16.06 ms, time: 201.00 ms, ``mflops'': 196.1
Problem: oc80x80x80, setup: 42.52 ms, time: 230.18 ms, ``mflops'': 210.93
Problem: oc84x84x84, setup: 33.73 ms, time: 281.71 ms, ``mflops'': 201.74
Problem: oc96x96x96, setup: 57.96 ms, time: 426.33 ms, ``mflops'': 204.98
Problem: oc100x100x100, setup: 35.38 ms, time: 486.25 ms, ``mflops'': 204.95
Problem: oc105x105x105, setup: 17.21 ms, time: 644.76 ms, ``mflops'': 180.83
Problem: oc112x112x112, setup: 34.28 ms, time: 731.69 ms, ``mflops'': 196.06
Problem: oc120x120x120, setup: 70.69 ms, time: 886.36 ms, ``mflops'': 201.98
r i 1-D powers of two
Problem: ir2, setup: 336.00 us, time: 78.25 ns, ``mflops'': 63.9
Problem: ir4, setup: 305.00 us, time: 104.80 ns, ``mflops'': 190.84
Problem: ir8, setup: 336.00 us, time: 154.16 ns, ``mflops'': 389.21
Problem: ir16, setup: 336.00 us, time: 284.58 ns, ``mflops'': 562.24
Problem: ir32, setup: 6.68 ms, time: 653.93 ns, ``mflops'': 611.69
Problem: ir64, setup: 12.06 ms, time: 1.51 us, ``mflops'': 636.17
Problem: ir128, setup: 20.08 ms, time: 3.75 us, ``mflops'': 597.61
Problem: ir256, setup: 38.03 ms, time: 9.75 us, ``mflops'': 525.29
Problem: ir512, setup: 53.11 ms, time: 22.77 us, ``mflops'': 505.85
Problem: ir1024, setup: 77.96 ms, time: 50.20 us, ``mflops'': 510.01
Problem: ir2048, setup: 102.77 ms, time: 126.39 us, ``mflops'': 445.6
Problem: ir4096, setup: 127.77 ms, time: 303.33 us, ``mflops'': 405.11
Problem: ir8192, setup: 161.72 ms, time: 745.88 us, ``mflops'': 356.95
Problem: ir16384, setup: 193.80 ms, time: 1.65 ms, ``mflops'': 347.12
Problem: ir32768, setup: 227.28 ms, time: 3.97 ms, ``mflops'': 309.68
Problem: ir65536, setup: 228.93 ms, time: 12.73 ms, ``mflops'': 205.96
Problem: ir131072, setup: 172.19 ms, time: 33.39 ms, ``mflops'': 166.81
Problem: ir262144, setup: 234.45 ms, time: 68.68 ms, ``mflops'': 171.76
Problem: ir524288, setup: 234.82 ms, time: 193.65 ms, ``mflops'': 128.6
Problem: ir1048576, setup: 416.56 ms, time: 390.56 ms, ``mflops'': 134.24
Problem: ir2097152, setup: 422.33 ms, time: 844.17 ms, ``mflops'': 130.42
r o 1-D powers of two
Problem: or2, setup: 61.00 us, time: 78.48 ns, ``mflops'': 63.714
Problem: or4, setup: 61.00 us, time: 105.03 ns, ``mflops'': 190.43
Problem: or8, setup: 61.00 us, time: 154.16 ns, ``mflops'': 389.21
Problem: or16, setup: 61.00 us, time: 285.03 ns, ``mflops'': 561.34
Problem: or32, setup: 1.50 ms, time: 655.76 ns, ``mflops'': 609.98
Problem: or64, setup: 3.60 ms, time: 1.51 us, ``mflops'': 637.72
Problem: or128, setup: 8.15 ms, time: 3.74 us, ``mflops'': 598.78
Problem: or256, setup: 18.80 ms, time: 9.66 us, ``mflops'': 530.15
Problem: or512, setup: 27.72 ms, time: 20.09 us, ``mflops'': 573.42
Problem: or1024, setup: 43.04 ms, time: 46.38 us, ``mflops'': 551.93
Problem: or2048, setup: 57.78 ms, time: 113.27 us, ``mflops'': 497.2
Problem: or4096, setup: 75.18 ms, time: 279.95 us, ``mflops'': 438.93
Problem: or8192, setup: 91.82 ms, time: 644.81 us, ``mflops'': 412.9
Problem: or16384, setup: 111.44 ms, time: 1.43 ms, ``mflops'': 400.8
Problem: or32768, setup: 134.95 ms, time: 3.92 ms, ``mflops'': 313.29
Problem: or65536, setup: 165.99 ms, time: 12.12 ms, ``mflops'': 216.33
Problem: or131072, setup: 223.86 ms, time: 37.27 ms, ``mflops'': 149.46
Problem: or262144, setup: 288.51 ms, time: 85.80 ms, ``mflops'': 137.48
Problem: or524288, setup: 339.98 ms, time: 182.50 ms, ``mflops'': 136.46
Problem: or1048576, setup: 481.70 ms, time: 383.53 ms, ``mflops'': 136.7
Problem: or2097152, setup: 574.92 ms, time: 816.21 ms, ``mflops'': 134.89
r i 1-D non-powers of two
Problem: ir6, setup: 335.00 us, time: 160.69 ns, ``mflops'': 241.3
Problem: ir9, setup: 183.00 us, time: 285.05 ns, ``mflops'': 250.21
Problem: ir12, setup: 366.00 us, time: 222.17 ns, ``mflops'': 484.09
Problem: ir15, setup: 245.00 us, time: 377.26 ns, ``mflops'': 388.35
Problem: ir18, setup: 5.37 ms, time: 1.47 us, ``mflops'': 127.82
Problem: ir24, setup: 12.91 ms, time: 728.45 ns, ``mflops'': 377.65
Problem: ir36, setup: 17.28 ms, time: 1.81 us, ``mflops'': 257.48
Problem: ir80, setup: 41.88 ms, time: 3.81 us, ``mflops'': 332.05
Problem: ir108, setup: 30.19 ms, time: 5.68 us, ``mflops'': 321.2
Problem: ir210, setup: 30.71 ms, time: 12.37 us, ``mflops'': 327.4
Problem: ir504, setup: 104.09 ms, time: 33.03 us, ``mflops'': 342.49
Problem: ir1000, setup: 111.23 ms, time: 64.74 us, ``mflops'': 384.83
Problem: ir1960, setup: 125.27 ms, time: 175.03 us, ``mflops'': 306.17
Problem: ir4725, setup: 56.84 ms, time: 493.16 us, ``mflops'': 292.37
Problem: ir10368, setup: 597.87 ms, time: 1.00 ms, ``mflops'': 345.23
Problem: ir27000, setup: 881.08 ms, time: 3.51 ms, ``mflops'': 283.07
Problem: ir75600, setup: 394.65 ms, time: 16.94 ms, ``mflops'': 180.8
Problem: ir165375, setup: 203.14 ms, time: 65.38 ms, ``mflops'': 109.62
Problem: ir362880, setup: 960.41 ms, time: 122.31 ms, ``mflops'': 136.99
Problem: ir1562500, setup: 391.72 ms, time: 765.54 ms, ``mflops'': 104.99
r o 1-D non-powers of two
Problem: or6, setup: 62.00 us, time: 160.22 ns, ``mflops'': 242.01
Problem: or9, setup: 61.00 us, time: 285.05 ns, ``mflops'': 250.21
Problem: or12, setup: 91.00 us, time: 221.69 ns, ``mflops'': 485.12
