c i 1-D powers of two
Problem: ic14x14x14, setup: 77.52 ms, time: 257.02 us, ``mflops'': 609.73
Problem: ic15x15x15, setup: 79.81 ms, time: 241.28 us, ``mflops'': 819.73
Problem: ic24x25x28, setup: 229.83 ms, time: 2.98 ms, ``mflops'': 395.25
Problem: ic48x48x48, setup: 876.18 ms, time: 25.79 ms, ``mflops'': 359.27
Problem: ic49x49x49, setup: 891.65 ms, time: 34.73 ms, ``mflops'': 285.31
Problem: ic60x60x60, setup: 1.54 s, time: 54.72 ms, ``mflops'': 349.76
Problem: ic72x60x56, setup: 1.45 s, time: 62.44 ms, ``mflops'': 346.46
Problem: ic75x75x75, setup: 1.92 s, time: 123.78 ms, ``mflops'': 318.44
Problem: ic80x80x80, setup: 2.32 s, time: 120.24 ms, ``mflops'': 403.79
Problem: ic84x84x84, setup: 2.76 s, time: 169.34 ms, ``mflops'': 335.59
Problem: ic96x96x96, setup: 3.84 s, time: 210.82 ms, ``mflops'': 414.52
Problem: ic100x100x100, setup: 4.30 s, time: 256.84 ms, ``mflops'': 388.01
Problem: ic105x105x105, setup: 4.99 s, time: 339.88 ms, ``mflops'': 343.03
Problem: ic112x112x112, setup: 6.15 s, time: 416.54 ms, ``mflops'': 344.4
Problem: ic120x120x120, setup: 7.36 s, time: 461.59 ms, ``mflops'': 387.85
c o 3-D non-powers of two
Problem: oc5x5x5, setup: 15.90 ms, time: 9.18 us, ``mflops'': 474.29
Problem: oc6x6x6, setup: 18.95 ms, time: 11.74 us, ``mflops'': 713.26
Problem: oc7x7x7, setup: 20.39 ms, time: 29.68 us, ``mflops'': 486.59
Problem: oc9x9x9, setup: 30.00 ms, time: 72.00 us, ``mflops'': 481.41
Problem: oc10x10x10, setup: 35.37 ms, time: 61.27 us, ``mflops'': 813.22
Problem: oc11x11x11, setup: 52.64 ms, time: 173.58 us, ``mflops'': 397.9
Problem: oc12x12x12, setup: 46.39 ms, time: 94.89 us, ``mflops'': 979.26
Problem: oc13x13x13, setup: 68.09 ms, time: 205.53 us, ``mflops'': 593.33
Problem: oc14x14x14, setup: 75.32 ms, time: 256.53 us, ``mflops'': 610.88
Problem: oc15x15x15, setup: 77.39 ms, time: 235.08 us, ``mflops'': 841.36
Problem: oc24x25x28, setup: 221.84 ms, time: 3.79 ms, ``mflops'': 310.95
Problem: oc48x48x48, setup: 882.31 ms, time: 27.68 ms, ``mflops'': 334.71
Problem: oc49x49x49, setup: 880.21 ms, time: 36.38 ms, ``mflops'': 272.38
Problem: oc60x60x60, setup: 1.56 s, time: 56.92 ms, ``mflops'': 336.26
Problem: oc72x60x56, setup: 1.41 s, time: 67.26 ms, ``mflops'': 321.62
Problem: oc75x75x75, setup: 1.91 s, time: 126.44 ms, ``mflops'': 311.75
