c i 1-D powers of two
Problem: or4, setup: 122.00 us, time: 249.13 ns, ``mflops'': 80.279
Problem: or8, setup: 122.00 us, time: 510.38 ns, ``mflops'': 117.56
Problem: or16, setup: 153.00 us, time: 1.10 us, ``mflops'': 145.34
Problem: or32, setup: 6.58 s, time: 1.33 us, ``mflops'': 300.76
Problem: or64, setup: 19.81 s, time: 2.40 us, ``mflops'': 400.77
Problem: or128, setup: 47.33 s, time: 4.62 us, ``mflops'': 484.91
Problem: or256, setup: 103.45 s, time: 9.04 us, ``mflops'': 566.06
Problem: or512, setup: 154.98 s, time: 18.89 us, ``mflops'': 609.7
Problem: or1024, setup: 231.71 s, time: 40.41 us, ``mflops'': 633.5
Problem: or2048, setup: 299.12 s, time: 83.69 us, ``mflops'': 672.98
Problem: or4096, setup: 372.96 s, time: 183.11 us, ``mflops'': 671.07
Problem: or8192, setup: 442.22 s, time: 389.09 us, ``mflops'': 684.26
Problem: or16384, setup: 517.57 s, time: 919.38 us, ``mflops'': 623.73
Problem: or32768, setup: 588.56 s, time: 3.20 ms, ``mflops'': 384.39
Problem: or65536, setup: 663.97 s, time: 7.95 ms, ``mflops'': 329.76
Problem: or131072, setup: 956.70 s, time: 15.23 ms, ``mflops'': 365.81
Problem: or262144, setup: 1061.45 s, time: 35.07 ms, ``mflops'': 336.41
Problem: or524288, setup: 1312.83 s, time: 74.68 ms, ``mflops'': 333.49
Problem: or1048576, setup: 1499.77 s, time: 163.33 ms, ``mflops'': 320.99
Problem: or2097152, setup: 1819.50 s, time: 378.67 ms, ``mflops'': 290.76
r i 1-D non-powers of two
Problem: ir6, setup: 763.10 ms, time: 445.16 ns, ``mflops'': 87.102
Problem: ir9, setup: 501.75 ms, time: 1.01 us, ``mflops'': 70.912
Problem: ir12, setup: 813.00 ms, time: 830.75 ns, ``mflops'': 129.46
Problem: ir15, setup: 385.53 ms, time: 1.31 us, ``mflops'': 111.73
Problem: ir18, setup: 28.59 s, time: 964.84 ns, ``mflops'': 194.48
Problem: ir24, setup: 64.24 s, time: 1.15 us, ``mflops'': 238.59
Problem: ir36, setup: 87.45 s, time: 2.66 us, ``mflops'': 174.93
Problem: ir80, setup: 223.39 s, time: 3.78 us, ``mflops'': 334.06
Problem: ir108, setup: 145.67 s, time: 6.24 us, ``mflops'': 292.11
Problem: ir210, setup: 150.33 s, time: 12.49 us, ``mflops'': 324.33
Problem: ir504, setup: 487.19 s, time: 25.93 us, ``mflops'': 436.27
Problem: ir1000, setup: 560.21 s, time: 48.76 us, ``mflops'': 510.98
Problem: ir1960, setup: 519.51 s, time: 120.16 us, ``mflops'': 445.97
Problem: ir4725, setup: 184.72 s, time: 1.95 ms, ``mflops'': 73.964
Problem: ir10368, setup: 2573.51 s, time: 652.31 us, ``mflops'': 530.07
Problem: ir27000, setup: 3586.39 s, time: 2.78 ms, ``mflops'': 356.82
Problem: ir75600, setup: 4775.13 s, time: 10.10 ms, ``mflops'': 303.23
Problem: ir165375, setup: 451.02 s, time: 119.48 ms, ``mflops'': 59.987
Problem: ir362880, setup: 4769.97 s, time: 64.45 ms, ``mflops'': 259.96
Problem: ir1562500, setup: 231.36 s, time: 377.60 ms, ``mflops'': 212.85
r o 1-D non-powers of two
Problem: or6, setup: 122.00 us, time: 434.91 ns, ``mflops'': 89.156
Problem: or9, setup: 122.00 us, time: 983.46 ns, ``mflops'': 72.523
Problem: or12, setup: 152.00 us, time: 806.52 ns, ``mflops'': 133.35
Problem: or15, setup: 122.00 us, time: 1.30 us, ``mflops'': 112.69
Problem: or18, setup: 5.40 s, time: 948.06 ns, ``mflops'': 197.93
Problem: or24, setup: 20.74 s, time: 1.07 us, ``mflops'': 256.41
Problem: or36, setup: 29.54 s, time: 1.64 us, ``mflops'': 283.88
Problem: or80, setup: 121.68 s, time: 2.99 us, ``mflops'': 423.22
Problem: or108, setup: 62.26 s, time: 4.72 us, ``mflops'': 386.72
Problem: or210, setup: 41.31 s, time: 11.03 us, ``mflops'': 367.3
Problem: or504, setup: 213.59 s, time: 24.86 us, ``mflops'': 455.09
Problem: or1000, setup: 258.40 s, time: 46.85 us, ``mflops'': 531.77
Problem: or1960, setup: 253.10 s, time: 113.73 us, ``mflops'': 471.21
Problem: or4725, setup: 185.25 s, time: 1.95 ms, ``mflops'': 73.822
Problem: or10368, setup: 1188.09 s, time: 635.12 us, ``mflops'': 544.41
