c i 1-D powers of two
Problem: or2048, setup: 120.24 ms, time: 83.69 us, ``mflops'': 672.98
Problem: or4096, setup: 154.12 ms, time: 189.30 us, ``mflops'': 649.14
Problem: or8192, setup: 197.39 ms, time: 410.06 us, ``mflops'': 649.27
Problem: or16384, setup: 247.87 ms, time: 949.88 us, ``mflops'': 603.7
Problem: or32768, setup: 299.93 ms, time: 3.33 ms, ``mflops'': 368.57
Problem: or65536, setup: 364.60 ms, time: 8.51 ms, ``mflops'': 307.88
Problem: or131072, setup: 529.94 ms, time: 19.44 ms, ``mflops'': 286.55
Problem: or262144, setup: 627.72 ms, time: 45.53 ms, ``mflops'': 259.08
Problem: or524288, setup: 788.46 ms, time: 100.74 ms, ``mflops'': 247.21
Problem: or1048576, setup: 942.21 ms, time: 215.73 ms, ``mflops'': 243.03
Problem: or2097152, setup: 1.17 s, time: 510.11 ms, ``mflops'': 215.84
r i 1-D non-powers of two
Problem: ir6, setup: 793.00 us, time: 444.24 ns, ``mflops'': 87.282
Problem: ir9, setup: 336.00 us, time: 1.01 us, ``mflops'': 70.912
Problem: ir12, setup: 762.00 us, time: 830.75 ns, ``mflops'': 129.46
Problem: ir15, setup: 336.00 us, time: 1.31 us, ``mflops'': 111.73
Problem: ir18, setup: 10.89 ms, time: 964.84 ns, ``mflops'': 194.48
Problem: ir24, setup: 25.76 ms, time: 1.15 us, ``mflops'': 238.21
Problem: ir36, setup: 33.05 ms, time: 2.67 us, ``mflops'': 173.95
Problem: ir80, setup: 86.09 ms, time: 3.80 us, ``mflops'': 332.75
Problem: ir108, setup: 63.42 ms, time: 7.99 us, ``mflops'': 228.34
Problem: ir210, setup: 65.43 ms, time: 15.86 us, ``mflops'': 255.43
Problem: ir504, setup: 227.82 ms, time: 32.90 us, ``mflops'': 343.81
Problem: ir1000, setup: 250.22 ms, time: 54.00 us, ``mflops'': 461.35
Problem: ir1960, setup: 270.72 ms, time: 126.60 us, ``mflops'': 423.29
Problem: ir4725, setup: 92.07 ms, time: 1.95 ms, ``mflops'': 73.969
Problem: ir10368, setup: 1.53 s, time: 696.19 us, ``mflops'': 496.66
Problem: ir27000, setup: 2.19 s, time: 3.09 ms, ``mflops'': 321.57
Problem: ir75600, setup: 3.50 s, time: 14.59 ms, ``mflops'': 209.96
Problem: ir165375, setup: 291.48 ms, time: 124.76 ms, ``mflops'': 57.448
Problem: ir362880, setup: 4.32 s, time: 95.34 ms, ``mflops'': 175.75
Problem: ir1562500, setup: 397.99 ms, time: 534.89 ms, ``mflops'': 150.26
r o 1-D non-powers of two
Problem: or6, setup: 153.00 us, time: 423.74 ns, ``mflops'': 91.506
Problem: or9, setup: 92.00 us, time: 979.74 ns, ``mflops'': 72.798
Problem: or12, setup: 153.00 us, time: 806.52 ns, ``mflops'': 133.35
Problem: or15, setup: 122.00 us, time: 1.30 us, ``mflops'': 113.01
Problem: or18, setup: 2.75 ms, time: 979.74 ns, ``mflops'': 191.53
Problem: or24, setup: 8.61 ms, time: 1.14 us, ``mflops'': 241.32
Problem: or36, setup: 10.99 ms, time: 1.75 us, ``mflops'': 265.18
Problem: or80, setup: 42.91 ms, time: 2.99 us, ``mflops'': 423.22
Problem: or108, setup: 26.15 ms, time: 5.89 us, ``mflops'': 309.87
Problem: or210, setup: 18.19 ms, time: 11.15 us, ``mflops'': 363.37
Problem: or504, setup: 95.37 ms, time: 28.97 us, ``mflops'': 390.49
Problem: or1000, setup: 109.65 ms, time: 48.04 us, ``mflops'': 518.59
Problem: or1960, setup: 123.35 ms, time: 114.91 us, ``mflops'': 466.34
Problem: or4725, setup: 92.10 ms, time: 1.95 ms, ``mflops'': 73.822
Problem: or10368, setup: 775.52 ms, time: 650.38 us, ``mflops'': 531.65
Problem: or27000, setup: 1.01 s, time: 2.78 ms, ``mflops'': 356.82
Problem: or75600, setup: 2.72 s, time: 13.21 ms, ``mflops'': 231.8
Problem: or165375, setup: 297.52 ms, time: 124.70 ms, ``mflops'': 57.476
Problem: or362880, setup: 6.38 s, time: 68.60 ms, ``mflops'': 244.23
Problem: or1562500, setup: 486.88 ms, time: 448.68 ms, ``mflops'': 179.13
r i 2-D powers of two
Problem: ir4x4, setup: 2.72 ms, time: 1.08 us, ``mflops'': 148.1
Problem: ir8x4, setup: 2.78 ms, time: 2.04 us, ``mflops'': 195.93
Problem: ir4x8, setup: 4.09 ms, time: 2.24 us, ``mflops'': 178.36
