c i 1-D powers of two
Problem: ic13x13x13, setup: 82.61 ms, time: 271.81 us, ``mflops'': 448.65
Problem: ic14x14x14, setup: 82.28 ms, time: 241.28 us, ``mflops'': 649.49
Problem: ic15x15x15, setup: 85.18 ms, time: 314.72 us, ``mflops'': 628.45
Problem: ic24x25x28, setup: 245.89 ms, time: 3.87 ms, ``mflops'': 304.8
Problem: ic48x48x48, setup: 900.74 ms, time: 26.64 ms, ``mflops'': 347.74
Problem: ic49x49x49, setup: 945.91 ms, time: 38.15 ms, ``mflops'': 259.73
Problem: ic60x60x60, setup: 1.61 s, time: 58.20 ms, ``mflops'': 328.84
Problem: ic72x60x56, setup: 1.47 s, time: 66.53 ms, ``mflops'': 325.15
Problem: ic75x75x75, setup: 2.05 s, time: 136.97 ms, ``mflops'': 287.78
Problem: ic80x80x80, setup: 2.51 s, time: 136.27 ms, ``mflops'': 356.3
Problem: ic84x84x84, setup: 2.87 s, time: 173.96 ms, ``mflops'': 326.7
Problem: ic96x96x96, setup: 3.94 s, time: 221.60 ms, ``mflops'': 394.36
Problem: ic100x100x100, setup: 4.61 s, time: 281.63 ms, ``mflops'': 353.86
Problem: ic105x105x105, setup: 5.49 s, time: 386.37 ms, ``mflops'': 301.75
Problem: ic112x112x112, setup: 6.28 s, time: 416.09 ms, ``mflops'': 344.77
Problem: ic120x120x120, setup: 7.63 s, time: 497.92 ms, ``mflops'': 359.55
c o 3-D non-powers of two
Problem: oc5x5x5, setup: 16.36 ms, time: 11.06 us, ``mflops'': 393.72
Problem: oc6x6x6, setup: 18.56 ms, time: 13.32 us, ``mflops'': 628.67
Problem: oc7x7x7, setup: 21.48 ms, time: 34.69 us, ``mflops'': 416.35
Problem: oc9x9x9, setup: 32.23 ms, time: 85.12 us, ``mflops'': 407.24
Problem: oc10x10x10, setup: 36.41 ms, time: 73.55 us, ``mflops'': 677.44
Problem: oc11x11x11, setup: 59.27 ms, time: 217.45 us, ``mflops'': 317.62
Problem: oc12x12x12, setup: 46.30 ms, time: 101.34 us, ``mflops'': 916.97
Problem: oc13x13x13, setup: 79.01 ms, time: 270.84 us, ``mflops'': 450.25
Problem: oc14x14x14, setup: 80.20 ms, time: 247.97 us, ``mflops'': 631.98
Problem: oc15x15x15, setup: 83.74 ms, time: 309.48 us, ``mflops'': 639.08
Problem: oc24x25x28, setup: 215.52 ms, time: 3.46 ms, ``mflops'': 340.37
Problem: oc48x48x48, setup: 908.64 ms, time: 28.87 ms, ``mflops'': 320.9
Problem: oc49x49x49, setup: 928.38 ms, time: 40.41 ms, ``mflops'': 245.22
Problem: oc60x60x60, setup: 1.63 s, time: 62.32 ms, ``mflops'': 307.1
Problem: oc72x60x56, setup: 1.44 s, time: 70.22 ms, ``mflops'': 308.05
Problem: oc75x75x75, setup: 1.99 s, time: 144.96 ms, ``mflops'': 271.91
Problem: oc80x80x80, setup: 2.40 s, time: 136.02 ms, ``mflops'': 356.94
Problem: oc84x84x84, setup: 2.82 s, time: 188.00 ms, ``mflops'': 302.3
Problem: oc96x96x96, setup: 3.88 s, time: 230.91 ms, ``mflops'': 378.46
Problem: oc100x100x100, setup: 4.47 s, time: 291.79 ms, ``mflops'': 341.54
Problem: oc105x105x105, setup: 5.30 s, time: 406.67 ms, ``mflops'': 286.69
Problem: oc112x112x112, setup: 6.10 s, time: 433.28 ms, ``mflops'': 331.1
Problem: oc120x120x120, setup: 7.64 s, time: 508.45 ms, ``mflops'': 352.11
r i 1-D powers of two
Problem: ir2, setup: 1.40 ms, time: 177.41 ns, ``mflops'': 28.183
Problem: ir4, setup: 1.43 ms, time: 252.87 ns, ``mflops'': 79.092
Problem: ir8, setup: 1.50 ms, time: 511.32 ns, ``mflops'': 117.34
Problem: ir16, setup: 1.52 ms, time: 1.21 us, ``mflops'': 132.35
Problem: ir32, setup: 28.78 ms, time: 1.46 us, ``mflops'': 273.91
Problem: ir64, setup: 71.08 ms, time: 2.97 us, ``mflops'': 323.74
Problem: ir128, setup: 140.84 ms, time: 5.86 us, ``mflops'': 382.48
Problem: ir256, setup: 304.33 ms, time: 11.33 us, ``mflops'': 452.09
Problem: ir512, setup: 534.78 ms, time: 23.37 us, ``mflops'': 493.04
Problem: ir1024, setup: 1.09 s, time: 48.52 us, ``mflops'': 527.62
Problem: ir2048, setup: 2.15 s, time: 97.52 us, ``mflops'': 577.55
Problem: ir4096, setup: 4.08 s, time: 204.56 us, ``mflops'': 600.7
Problem: ir8192, setup: 8.16 s, time: 438.69 us, ``mflops'': 606.9
Problem: ir16384, setup: 16.06 s, time: 1.07 ms, ``mflops'': 535.89
Problem: ir32768, setup: 34.55 s, time: 2.57 ms, ``mflops'': 477.9
Problem: ir65536, setup: 75.46 s, time: 6.81 ms, ``mflops'': 385.19
Problem: ir131072, setup: 119.03 s, time: 16.48 ms, ``mflops'': 338.02
Problem: ir262144, setup: 62.76 s, time: 37.63 ms, ``mflops'': 313.49
Problem: ir524288, setup: 154.16 s, time: 85.48 ms, ``mflops'': 291.33
Problem: ir1048576, setup: 107.29 s, time: 188.06 ms, ``mflops'': 278.8
Problem: ir2097152, setup: 224.28 s, time: 391.46 ms, ``mflops'': 281.26
r o 1-D powers of two
Problem: or2, setup: 92.00 us, time: 177.41 ns, ``mflops'': 28.183
Problem: or4, setup: 122.00 us, time: 254.71 ns, ``mflops'': 78.519
Problem: or8, setup: 122.00 us, time: 500.12 ns, ``mflops'': 119.97
Problem: or16, setup: 153.00 us, time: 1.19 us, ``mflops'': 134.85
Problem: or32, setup: 8.21 ms, time: 1.33 us, ``mflops'': 299.94
Problem: or64, setup: 21.79 ms, time: 2.38 us, ``mflops'': 402.64
Problem: or128, setup: 56.12 ms, time: 4.77 us, ``mflops'': 469.77
Problem: or256, setup: 135.17 ms, time: 9.69 us, ``mflops'': 528.6
Problem: or512, setup: 241.28 ms, time: 20.50 us, ``mflops'': 561.84
Problem: or1024, setup: 487.84 ms, time: 43.39 us, ``mflops'': 589.99
Problem: or2048, setup: 931.12 ms, time: 94.17 us, ``mflops'': 598.06
Problem: or4096, setup: 1.88 s, time: 197.89 us, ``mflops'': 620.95
Problem: or8192, setup: 3.67 s, time: 418.66 us, ``mflops'': 635.94
Problem: or16384, setup: 7.45 s, time: 1.03 ms, ``mflops'': 555.73
Problem: or32768, setup: 16.02 s, time: 3.40 ms, ``mflops'': 361.12
Problem: or65536, setup: 34.25 s, time: 7.66 ms, ``mflops'': 342.22
Problem: or131072, setup: 76.06 s, time: 16.45 ms, ``mflops'': 338.64
Problem: or262144, setup: 161.45 s, time: 35.77 ms, ``mflops'': 329.81
Problem: or524288, setup: 327.27 s, time: 77.67 ms, ``mflops'': 320.64
Problem: or1048576, setup: 533.90 s, time: 171.88 ms, ``mflops'': 305.03
Problem: or2097152, setup: 727.99 s, time: 407.14 ms, ``mflops'': 270.42
r i 1-D non-powers of two
Problem: ir6, setup: 1.50 ms, time: 438.66 ns, ``mflops'': 88.393
Problem: ir9, setup: 1.04 ms, time: 1.22 us, ``mflops'': 58.548
Problem: ir12, setup: 1.56 ms, time: 860.60 ns, ``mflops'': 124.97
